FY,FY1,Recurrent,Capital,Interest,Revenue,GDP
2059,2002,,,,,
2060,2003,"52,090.50","22,356.10","6,621.80","56,229.70","492,231.00"
2061,2004,"55,552.10","23,095.60","6,543.90","62,331.00","536,749.00"
2062,2005,"61,686.40","27,340.80","5,922.20","70,124.10","589,412.00"
2063,2006,"67,017.80","29,606.60","6,158.70","72,282.10","654,084.00"
2064,2007,"77,122.40","39,729.90","5,845.60","87,712.10","727,827.00"
2065,2008,"91,446.90","53,516.10","6,039.60","107,622.70","815,658.00"
2066,2009,"127,738.90","73,088.90","7,867.80","143,474.40","988,272.00"
2067,2010,"186,597.60","40,509.80","9,663.70","179,945.80","1,192,774.00"
2068,2011,"210,167.70","47,327.70","12,403.30","199,819.00","1,562,681.00"
2069,2012,"243,460.00","51,390.70","15,160.80","244,561.10","1,758,379.20"
2070,2013,"247,455.50","54,598.40","13,736.70","296,776.50","1,949,294.80"
2071,2014,"303,531.70","66,694.70","12,037.90","363,493.40","2,232,525.30"
2072,2015,"339,278.00","88,754.70","9,263.20","407,947.70","2,423,638.50"
2073,2016,"370,986.80","122,350.40","8,673.00","485,239.00","2,608,184.40"
2074,2017,"518,614.30","208,749.40","10,023.70","612,597.50","3,077,144.90"
2075,2018,"696,919.60","270,713.70","16,247.30","726,717.60","3,455,949.30"
2076,2019,"716,417.60","241,562.50","20,714.60","839,661.90","3,858,930.40"
2077,2020,"784,291.40","189,140.10","26,060.30","841,312.50","3,888,703.70"
2078,2021,"846,217.30","228,836.10","34,741.10","976,309.40","4,352,550.20"
2079,2022,"954,316.80","216,213.00","45,225.90","1,113,848.50","4,976,558.00"
2080,2023,"991,506.70","234,624.80","72,780.10","1,010,651.10","5,348,528.00"
2081,2024,"929,126.60","192,027.40","82,097.80","1,082,719.70","5,704,840.00"
2082,2025,"956,594.80","223,977.80","70,448.70","1,196,189.90","6,107,220.80"
