year,debt
2025,2669650
2024,2433239
2023,2295436.9
2022,2013296.4
2021,1737636.9
2020,1433402.5
2019,1048156.7
2018,917315.6
2017,697689.4
2016,627791.8
2015,544918.6
2014,553507.7
2013,553788.7
2012,523278.4
2011,443757.5
2010,404303
2009,402714.5
2008,366004.9
2007,320404.9
2006,328679.4
2005,307206.1
2004,318913
2003,308078.5
2002,280169.3
2001,255907.6
2000,240360.8
1999,207872.6
1998,197098.9
1997,166328.7
1996,160102.2
1995,143632.1
1994,127422.9
1993,110655.7
1992,91779.8
1991,74178.4
1990,49688.8
1989,40852.9
1988,29823.4
1987,22362.1
1986,16361.8
1985,13540.3
1984,9199.2
1983,6617.6
1982,4621.6
1981,3954.1
1980,3202.4
1979,2545.5
1978,1986.1
1977,1372
1976,1082
1975,822.5
